"Step","zesty-sweep-5 - epoch","zesty-sweep-5 - epoch__MIN","zesty-sweep-5 - epoch__MAX","wobbly-sweep-4 - epoch","wobbly-sweep-4 - epoch__MIN","wobbly-sweep-4 - epoch__MAX","graceful-sweep-3 - epoch","graceful-sweep-3 - epoch__MIN","graceful-sweep-3 - epoch__MAX","astral-sweep-2 - epoch","astral-sweep-2 - epoch__MIN","astral-sweep-2 - epoch__MAX","gallant-sweep-1 - epoch","gallant-sweep-1 - epoch__MIN","gallant-sweep-1 - epoch__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"31","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"32","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"33","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"34","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"35","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"36","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"37","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"38","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"39","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"40","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"41","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"42","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
