"Step","zesty-sweep-5 - train_acc_step","zesty-sweep-5 - train_acc_step__MIN","zesty-sweep-5 - train_acc_step__MAX","wobbly-sweep-4 - train_acc_step","wobbly-sweep-4 - train_acc_step__MIN","wobbly-sweep-4 - train_acc_step__MAX","graceful-sweep-3 - train_acc_step","graceful-sweep-3 - train_acc_step__MIN","graceful-sweep-3 - train_acc_step__MAX","astral-sweep-2 - train_acc_step","astral-sweep-2 - train_acc_step__MIN","astral-sweep-2 - train_acc_step__MAX","gallant-sweep-1 - train_acc_step","gallant-sweep-1 - train_acc_step__MIN","gallant-sweep-1 - train_acc_step__MAX"
"0","0.03125","0.03125","0.03125","0.3125","0.3125","0.3125","0.125","0.125","0.125","0.125","0.125","0.125","0.3125","0.3125","0.3125"
"1","0.125","0.125","0.125","0.375","0.375","0.375","0.03125","0.03125","0.03125","0.15625","0.15625","0.15625","0.28125","0.28125","0.28125"
"2","0.03125","0.03125","0.03125","0.34375","0.34375","0.34375","0.09375","0.09375","0.09375","0.15625","0.15625","0.15625","0.34375","0.34375","0.34375"
"3","0.125","0.125","0.125","0.34375","0.34375","0.34375","0.125","0.125","0.125","0.21875","0.21875","0.21875","0.40625","0.40625","0.40625"
"4","0.09375","0.09375","0.09375","0.34375","0.34375","0.34375","0.0625","0.0625","0.0625","0.28125","0.28125","0.28125","0.28125","0.28125","0.28125"
"5","0.09375","0.09375","0.09375","0.375","0.375","0.375","0.09375","0.09375","0.09375","0.1875","0.1875","0.1875","0.40625","0.40625","0.40625"
"6","0.15625","0.15625","0.15625","0.375","0.375","0.375","0.15625","0.15625","0.15625","0.09375","0.09375","0.09375","0.46875","0.46875","0.46875"
"7","0.09375","0.09375","0.09375","0.3125","0.3125","0.3125","0.15625","0.15625","0.15625","0.15625","0.15625","0.15625","0.75","0.75","0.75"
"8","0.09375","0.09375","0.09375","0.5","0.5","0.5","0.09375","0.09375","0.09375","0.15625","0.15625","0.15625","0.3125","0.3125","0.3125"
"9","0.125","0.125","0.125","0.4375","0.4375","0.4375","0.15625","0.15625","0.15625","0.34375","0.34375","0.34375","0.21875","0.21875","0.21875"
"10","0","0","0","0.34375","0.34375","0.34375","0.125","0.125","0.125","0.25","0.25","0.25","0.40625","0.40625","0.40625"
"11","0.125","0.125","0.125","0.375","0.375","0.375","0.15625","0.15625","0.15625","0.25","0.25","0.25","0.40625","0.40625","0.40625"
"12","0.125","0.125","0.125","0.46875","0.46875","0.46875","0.09375","0.09375","0.09375","0.15625","0.15625","0.15625","0.59375","0.59375","0.59375"
"13","0.09375","0.09375","0.09375","0.46875","0.46875","0.46875","0.0625","0.0625","0.0625","0.09375","0.09375","0.09375","0.5625","0.5625","0.5625"
"14","0.03125","0.03125","0.03125","0.40625","0.40625","0.40625","0.125","0.125","0.125","0.25","0.25","0.25","0.375","0.375","0.375"
"15","0.1875","0.1875","0.1875","0.40625","0.40625","0.40625","0.09375","0.09375","0.09375","0.40625","0.40625","0.40625","0.46875","0.46875","0.46875"
"16","0.09375","0.09375","0.09375","0.625","0.625","0.625","0.1875","0.1875","0.1875","0.125","0.125","0.125","0.625","0.625","0.625"
"17","0.09375","0.09375","0.09375","0.59375","0.59375","0.59375","0.125","0.125","0.125","0.21875","0.21875","0.21875","0.4375","0.4375","0.4375"
"18","0.09375","0.09375","0.09375","0.59375","0.59375","0.59375","0.15625","0.15625","0.15625","0.1875","0.1875","0.1875","0.53125","0.53125","0.53125"
"19","0.125","0.125","0.125","0.46875","0.46875","0.46875","0.09375","0.09375","0.09375","0.25","0.25","0.25","0.40625","0.40625","0.40625"
"20","0.1875","0.1875","0.1875","0.5625","0.5625","0.5625","0.125","0.125","0.125","0.125","0.125","0.125","0.59375","0.59375","0.59375"
"21","0.1875","0.1875","0.1875","0.53125","0.53125","0.53125","0.15625","0.15625","0.15625","0.25","0.25","0.25","0.4375","0.4375","0.4375"
"22","0","0","0","0.5625","0.5625","0.5625","0.15625","0.15625","0.15625","0.15625","0.15625","0.15625","0.5625","0.5625","0.5625"
"23","0.1875","0.1875","0.1875","0.59375","0.59375","0.59375","0.15625","0.15625","0.15625","0.0625","0.0625","0.0625","0.5","0.5","0.5"
"24","0.09375","0.09375","0.09375","0.5625","0.5625","0.5625","0.25","0.25","0.25","0.09375","0.09375","0.09375","0.5625","0.5625","0.5625"
"25","0.25","0.25","0.25","0.5","0.5","0.5","0.15625","0.15625","0.15625","0.03125","0.03125","0.03125","0.4375","0.4375","0.4375"
"26","0.0625","0.0625","0.0625","0.65625","0.65625","0.65625","0.125","0.125","0.125","0.0625","0.0625","0.0625","0.65625","0.65625","0.65625"
"27","0.0625","0.0625","0.0625","0.53125","0.53125","0.53125","0.09375","0.09375","0.09375","0.15625","0.15625","0.15625","0.6875","0.6875","0.6875"
"30","0.09375","0.09375","0.09375","0.59375","0.59375","0.59375","0.21875","0.21875","0.21875","0.15625","0.15625","0.15625","0.65625","0.65625","0.65625"
"31","0.125","0.125","0.125","0.59375","0.59375","0.59375","0.0625","0.0625","0.0625","0.09375","0.09375","0.09375","0.46875","0.46875","0.46875"
"32","0.09375","0.09375","0.09375","0.53125","0.53125","0.53125","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.5","0.5","0.5"
"33","0.03125","0.03125","0.03125","0.65625","0.65625","0.65625","0.09375","0.09375","0.09375","0.03125","0.03125","0.03125","0.59375","0.59375","0.59375"
"34","0.09375","0.09375","0.09375","0.46875","0.46875","0.46875","0.0625","0.0625","0.0625","0.15625","0.15625","0.15625","0.5625","0.5625","0.5625"
"35","0.125","0.125","0.125","0.71875","0.71875","0.71875","0.21875","0.21875","0.21875","0.15625","0.15625","0.15625","0.40625","0.40625","0.40625"
"36","0.0625","0.0625","0.0625","0.65625","0.65625","0.65625","0.09375","0.09375","0.09375","0.0625","0.0625","0.0625","0.5625","0.5625","0.5625"
"37","0.09375","0.09375","0.09375","0.65625","0.65625","0.65625","0.15625","0.15625","0.15625","0.125","0.125","0.125","0.59375","0.59375","0.59375"
"38","0.09375","0.09375","0.09375","0.59375","0.59375","0.59375","0.0625","0.0625","0.0625","0.09375","0.09375","0.09375","0.59375","0.59375","0.59375"
"39","0.03125","0.03125","0.03125","0.6875","0.6875","0.6875","0.0625","0.0625","0.0625","0.0625","0.0625","0.0625","0.78125","0.78125","0.78125"
"40","0.125","0.125","0.125","0.625","0.625","0.625","0.1875","0.1875","0.1875","0.09375","0.09375","0.09375","0.65625","0.65625","0.65625"
"41","0.1875","0.1875","0.1875","0.71875","0.71875","0.71875","0.125","0.125","0.125","0.125","0.125","0.125","0.59375","0.59375","0.59375"
"42","0.125","0.125","0.125","0.5625","0.5625","0.5625","0.15625","0.15625","0.15625","0.0625","0.0625","0.0625","0.5","0.5","0.5"
"43","0.03125","0.03125","0.03125","0.53125","0.53125","0.53125","0.34375","0.34375","0.34375","0.1875","0.1875","0.1875","0.65625","0.65625","0.65625"
"44","0.15625","0.15625","0.15625","0.78125","0.78125","0.78125","0.28125","0.28125","0.28125","0.0625","0.0625","0.0625","0.59375","0.59375","0.59375"
"45","0.0625","0.0625","0.0625","0.625","0.625","0.625","0.15625","0.15625","0.15625","0","0","0","0.8125","0.8125","0.8125"
"46","0.0625","0.0625","0.0625","0.6875","0.6875","0.6875","0.28125","0.28125","0.28125","0","0","0","0.53125","0.53125","0.53125"
"47","0.03125","0.03125","0.03125","0.84375","0.84375","0.84375","0.1875","0.1875","0.1875","0.09375","0.09375","0.09375","0.625","0.625","0.625"
"48","0.0625","0.0625","0.0625","0.53125","0.53125","0.53125","0.25","0.25","0.25","0.1875","0.1875","0.1875","0.875","0.875","0.875"
"49","0.0625","0.0625","0.0625","0.75","0.75","0.75","0.03125","0.03125","0.03125","0.0625","0.0625","0.0625","0.71875","0.71875","0.71875"
"50","0.0625","0.0625","0.0625","0.71875","0.71875","0.71875","0.09375","0.09375","0.09375","0.03125","0.03125","0.03125","0.53125","0.53125","0.53125"
"51","0.09375","0.09375","0.09375","0.65625","0.65625","0.65625","0.125","0.125","0.125","0.15625","0.15625","0.15625","0.5","0.5","0.5"
"52","0.09375","0.09375","0.09375","0.5625","0.5625","0.5625","0.125","0.125","0.125","0.09375","0.09375","0.09375","0.59375","0.59375","0.59375"
"53","0","0","0","0.6875","0.6875","0.6875","0.28125","0.28125","0.28125","0.15625","0.15625","0.15625","0.75","0.75","0.75"
"54","0.1875","0.1875","0.1875","0.625","0.625","0.625","0.21875","0.21875","0.21875","0.09375","0.09375","0.09375","0.71875","0.71875","0.71875"
"55","0.09375","0.09375","0.09375","0.625","0.625","0.625","0.21875","0.21875","0.21875","0.0625","0.0625","0.0625","0.59375","0.59375","0.59375"
"56","0.0625","0.0625","0.0625","0.59375","0.59375","0.59375","0.25","0.25","0.25","0.09375","0.09375","0.09375","0.59375","0.59375","0.59375"
"57","0.15625","0.15625","0.15625","0.53125","0.53125","0.53125","0.125","0.125","0.125","0.0625","0.0625","0.0625","0.65625","0.65625","0.65625"
"60","0.0625","0.0625","0.0625","0.75","0.75","0.75","0.25","0.25","0.25","0.15625","0.15625","0.15625","0.6875","0.6875","0.6875"
"61","0.09375","0.09375","0.09375","0.75","0.75","0.75","0.21875","0.21875","0.21875","0.09375","0.09375","0.09375","0.59375","0.59375","0.59375"
"62","0.125","0.125","0.125","0.625","0.625","0.625","0.4375","0.4375","0.4375","0.15625","0.15625","0.15625","0.8125","0.8125","0.8125"
"63","0.1875","0.1875","0.1875","0.6875","0.6875","0.6875","0.21875","0.21875","0.21875","0.1875","0.1875","0.1875","0.6875","0.6875","0.6875"
"64","0.0625","0.0625","0.0625","0.59375","0.59375","0.59375","0.1875","0.1875","0.1875","0.03125","0.03125","0.03125","0.78125","0.78125","0.78125"
"65","0.1875","0.1875","0.1875","0.71875","0.71875","0.71875","0.21875","0.21875","0.21875","0","0","0","0.65625","0.65625","0.65625"
"66","0.15625","0.15625","0.15625","0.6875","0.6875","0.6875","0.15625","0.15625","0.15625","0.0625","0.0625","0.0625","0.65625","0.65625","0.65625"
"67","0.125","0.125","0.125","0.5625","0.5625","0.5625","0.28125","0.28125","0.28125","0.125","0.125","0.125","0.75","0.75","0.75"
"68","0.15625","0.15625","0.15625","0.78125","0.78125","0.78125","0.3125","0.3125","0.3125","0.0625","0.0625","0.0625","0.65625","0.65625","0.65625"
"69","0.0625","0.0625","0.0625","0.65625","0.65625","0.65625","0.34375","0.34375","0.34375","0.15625","0.15625","0.15625","0.5625","0.5625","0.5625"
"70","0.09375","0.09375","0.09375","0.84375","0.84375","0.84375","0.375","0.375","0.375","0.09375","0.09375","0.09375","0.625","0.625","0.625"
"71","0.15625","0.15625","0.15625","0.875","0.875","0.875","0.1875","0.1875","0.1875","0.15625","0.15625","0.15625","0.71875","0.71875","0.71875"
"72","0.03125","0.03125","0.03125","0.75","0.75","0.75","0.1875","0.1875","0.1875","0.09375","0.09375","0.09375","0.625","0.625","0.625"
"73","0.09375","0.09375","0.09375","0.65625","0.65625","0.65625","0.1875","0.1875","0.1875","0.15625","0.15625","0.15625","0.6875","0.6875","0.6875"
"74","0.125","0.125","0.125","0.78125","0.78125","0.78125","0.34375","0.34375","0.34375","0.09375","0.09375","0.09375","0.8125","0.8125","0.8125"
"75","0.0625","0.0625","0.0625","0.78125","0.78125","0.78125","0.3125","0.3125","0.3125","0.1875","0.1875","0.1875","0.65625","0.65625","0.65625"
"76","0.09375","0.09375","0.09375","0.6875","0.6875","0.6875","0.28125","0.28125","0.28125","0.03125","0.03125","0.03125","0.59375","0.59375","0.59375"
